AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
HITO 178/278, A History of Seafaring in the Age of Sail (4), 4
HITO 180/280, Housing in the Developing World (4), 4
HITO 192, Senior Seminar in History (1), 1
HITO 193/POLI, Research Seminar in Washington, DC (6), 6
HITO 194, History Honors (4), 4
HITO 195, The Honors Essay (4), 4
HITO 196, Honors Seminar (4), 4
HITO 198, Directed Group Study (1–4), 1–4
HITO 199, Independent Study in Historical Topics (4), 4
HITO 274, The Foundations of Constitutional Law (4), 4
HIUS 103, The United States and the Pacific World (4), 4
HIUS 104, The Revolutionary Atlantic (4), 4
HIUS 106A, American Foreign Relations, to 1900 (4), 4
HIUS 106B, American Foreign Relations, since 1900 (4), 4
HIUS 106S, Apocalyptic Judaism (4), 4
HIUS 108A/ETHN, History of Native Americans in the United States I (4), 4
HIUS 108B/ETHN, History of Native Americans in the United States II (4), 4
HIUS 110, America and the World: Revolution to World War I (4), 4
HIUS 111, America and the World: World War I to the Present (4), 4
HIUS 112, The US Civil War (4), 4
HIUS 113/ETHN, History of Mexican America (4), 4
HIUS 114A, California History 1542–1850 (4), 4
HIUS 114B, California History, 1850–Present (4), 4
HIUS 115, History of Sexuality in the United States (4), 4
HIUS 117, History of Los Angeles (4), 4
HIUS 118, How Jews Became American (4), 4
HIUS 120, Peace Movements in America (4), 4
HIUS 120D, Race and Oral History in San Diego (4), 4
HIUS 122, History and Hollywood: America and the Movies since the Great Depression (4), 4
HIUS 123/USP, History of New York City (4), 4
HIUS 124/ETHN, Asian American History (4), 4
HIUS 125/ETHN, Asian American Social Movements (4), 4
HIUS 126, The History of Race in the United States (4), 4
HIUS 128, African American Legal History (4), 4
HIUS 129/USP, The History of Race and Ethnicity in American Cities (4), 4
HIUS 130, Cultural  History from 1607 to 1865 (4), 4
HIUS 131, Cultural  History from 1865 to 1917 (4), 4
HIUS 131D, Cultural History from the Civil War to the Present (4), 4
HIUS 132S, The Civil War and Reconstruction in Popular Culture (4), 4
HIUS 133, The Golden Age of Piracy (4), 4
HIUS 133GS, The Golden Age of Piracy (4), 4
HIUS 134, From  Bebop to Hip-Hop: African American Cultural History since 1945 (4), 4
HIUS 135, The Atlantic World, 1492–1803 (4), 4
HIUS 136/ETHN, Citizenship and Civil Rights in the Twentieth Century (4), 4
HIUS 137, Mining and American History (4), 4
HIUS 139/ETHN, African American History in the Twentieth Century (4), 4
HIUS 140/ECON, Economic History of the United States I (4), 4
HIUS 141/ECON, Economic History of the United States II (4), 4
HIUS 142A, United States in the Twentieth Century, 1900–1945 (4), 4
HIUS 142B, United States in the Twentieth Century, 1945 to the Present (4), 4
HIUS 143, The Built Environment in the Twentieth Century (4), 4
HIUS 143GS, The Built Environment in the Twentieth Century (4), 4
HIUS 144, Topics in US History (4), 4
HIUS 145, From New Era to New Deal (4), 4
HIUS 146, Race, Riots, and Violence in the U, Race, Riots, and Violence in the 
HIUS 148/USP, The American City in the Twentieth Century (4), 4
HIUS 149, The United States in the 1960s (4), 4
HIUS 150, American Legal History to 1865 (4), 4
HIUS 151, American Legal History since 1865 (4), 4
HIUS 152A, A Constitutional History of the United States to 1865 (4), 4
HIUS 152B, A Constitutional History of the United States since 1865 (4), 4
HIUS 153, American Political Trials (4), 4
HIUS 155, From  Zoot Suits to Hip-Hop: Race and Popular Culture since World War II (4), 4
HIUS 155A, Religion and Law in American History: Foundations to the Civil War (4), 4
HIUS 155B, Religion and Law in American History: Civil War to the Present (4), 4
HIUS 156, American  Women, American Womanhood (4), 4
HIUS 156D, American Women, American Womanhood (4), 4
HIUS 157, American  Women, American Womanhood 1870 to Present (4), 4
HIUS 158/ETHN, Social and Economic History of the Southwest I (4), 4
HIUS 159/ETHN, Social and Economic History of the Southwest II (4), 4
HIUS 160/260, Colloquium on the American Empire (4), 4
HIUS 162/262, The American West (4), 4
HIUS 167/267/ETHN, Topics in Mexican American History (4), 4
HIUS 168/268, Race, Resistance, and Cultural Politics (4), 4
HIUS 169/269, Topics in American Legal and Constitutional History (4), 4
HIUS 174, Race Wars in American Culture (4), 4
HIUS 176/276, Race and Sexual Politics (4), 4
HIUS 177, Asian American Historiography (4), 4
HIUS 180/280/ETHN, Immigration and Ethnicity in Modern American Society (4), 4
HIUS 181/281, Topics in Twentieth Century United States History (4), 4
HIUS 182, Special Topics in Intellectual History (4), 4
HIUS 183, Topics in African American History (4), 4
HIUS 185/285, In the Public Interest (4), 4
HIUS 186, Topics in US Economic History (4), 4
HIUS 188/288, Topics in Culture and Politics (4), 4
HIUS 198, Directed Group Study (4), 4
HIUS 199, Independent  Study in United States History (4), 4
HIUS 265, The Problem with Freedom (4), 4
HIUS 274, Race Wars in American Culture (4), 4
HIUS 277, Asian American Historiography (4), 4
HIUS 286, Topics in US Economic History (4), 4
HIGR 200, History and Theory (4), 4
HIGR 203, Madness and Society (4), 4
HIGR 205, Historical Scholarship on Women and Gender (4), 4
HIGR 206, Histories of the Body (4), 4
HIGR 207, Nationalism, Colonialism, and Race (4), 4
HIGR 208, Graduate Professional Development (4), 4
HIGR 209, Historical Pedagogy (4), 4
HIGR 210, Historical  Scholarship on Modern Chinese History (4), 4
HIGR 211, Historical  Scholarship on Modern Japanese History (4), 4
HIGR 212, Historical  Scholarship on Modern East Asian History (4), 4
HIGR 214, Historical Scholarship on Modern Korean History (4), 4
HIGR 215A-B, Research Seminar in Modern Chinese History (4-4), 4-4
HIGR 216A-B, Research Seminar in Modern Japanese History (4-4), 4-4
HIGR 217A, Historical Scholarship on Premodern Chinese History I (4), 4
HIGR 217B, Historical Scholarship on Premodern Chinese History II (4), 4
HIGR 217C, Historical Scholarship on Premodern Chinese History III (4), 4
HIGR 218A, Graduate Seminar in Premodern Chinese History (4), 4
HIGR 218B, Graduate Seminar in Premodern Chinese History (4), 4
HIGR 219A, Research Seminar in Modern Korean History (4), 4
HIGR 219B, Research Seminar in Modern Korean History (4), 4
HIGR 220, Historical  Scholarship on European History, 1500–1715 (4), 4
HIGR 221, Historical  Scholarship on European History, 1715–1850 (4), 4
HIGR 222, Historical  Scholarship on European History, since 1850 (4), 4
HIGR 223A, Research Seminar in Medieval History (4), 4
HIGR 223B, Research Seminar in Medieval History (4), 4
HIGR 224, Readings in Twentieth-Century German History (4), 4
HIGR 225, Readings in Modern Russian History (4), 4
HIGR 226, Readings in Modern Spanish History (4), 4
HIGR 227A-B, Seminar in Spanish History (4-4), 4-4
HIGR 228, Historical Scholarship on Greece and the Balkans, 1768–1923 (4), 4
HIGR 229, Historical Scholarship on Greece and the Balkans, 1923–2000 (4), 4
HIGR 230A-B, Research Seminar in European History (4-4), 4-4
HIGR 234, Eastern Mediterranean Archaeology: New Perspectives (4), 4
HIGR 236A-B, Research Seminar in History of Science (4-4), 4-4
HIGR 237, Topics in the History of Ocean Sciences (4), 4
HIGR 238, Introduction to Science Studies (4), 4
HIGR 239, Seminar in Science Studies (4), 4
HIGR 240, Colloquium in Science Studies (4), 4
HIGR 241, Advanced  Approaches to Science Studies (4), 4
HIGR 244, Introduction to Sound Studies (4), 4
HIGR 245, Revolution, Empire, and State Violence in Latin America and the Caribbean (4), 4
HIGR 247A-B, Research Seminar in Colonial Latin America (4-4), 4-4
HIGR 248A-B, Research Seminar in Latin America, National Period (4-4), 4-4
HIGR 249, Topics in Colonial Latin America (4), 4
HIGR 252, History,  Social Evolution, and Intellectuals in the Andes: Mariátegui, Haya de la  Torre, and Arguedas (4), 4
HIGR 254, Historical Scholarship in Ancient History (4), 4
HIGR 255, Readings in Ancient Greek History (4), 4
HIGR 256, Readings in Ancient Roman History (4), 4
HIGR 257A, Historical Scholarship on Modern Middle East, Eighteenth to Twentieth Century (4), 4
HIGR 257B, Historical Scholarship on Modern Middle East, Colonial Period (4), 4
HIGR 257C, Historical Scholarship on Modern Middle East, Postcolonial Eras (4), 4
HIGR 258, Historical Scholarship in Medieval History (4), 4
HIGR 259, Special Topics in Ancient History (4), 4
HIGR 260A, Research Seminar in Ancient History (4), 4
HIGR 260B, Research Seminar in Ancient History (4), 4
HIGR 264, Topics in Pre-Islamic Jewish History (4), 4
HIGR 265A-B-C, Historical Scholarship on American History (4-4-4), 4-4-4
HIGR 267A-B, Research Seminar in United States History (4-4), 4-4
HIGR 275A, Research Seminar in Middle Eastern History (4), 4
HIGR 275B, Research Seminar in Middle Eastern History (4), 4
HIGR 280, Global History: Approaches to the Early Modern Era (4), 4
HIGR 281, Global History: Approaches to the Modern Era (4), 4
HIGR 295, Thesis Seminar (4), 4
HIGR 298, Directed Reading (1–12), 1–12
HIGR 299, PhD Thesis Direction (1–12), 1–12
HIGR 500, Apprentice Teaching in History (1–4), 1–4
HIGR 502, Apprentice Teaching in Culture, Art, and Technology (CAT) (4), CAT) (4
HIGR 505, Apprentice Teaching in Judaic Studies (4), 4
HDP 1, Introduction to Human Development (4), 4
HDP 98, Directed Group Study (1–2), 1–2
HDP 99, Independent  Study in Human Development (2–4), 2–4
HDP 110, Brain and Behavioral Development (4), 4
HDP 111, Evolutionary Principles in Human Development (4), 4
HDP 120, Language Development (4), 4
HDP 121, The Developing Mind (4), 4
HDP 122, Social Development (4), 4
HDP 133, Sociocultural  Foundations of Human Development (4), 4
HDP 150, Senior Seminar (4), 4
HDP 160, Special  Topics Seminar in Human Development (4), 4
HDP 171, Diverse Communities in a Life-span Approach to Human Development (4), 4
HDP 175, Power, Wealth, and Inequality in Human Development (4), 4
HDP 181, Experimental  Projects in Human Development Research (6), 6
HDP 191, Field Research in Human Development (6), 6
HDP 193, Advanced  Research in Human Development (4), 4
HDP 194A-B-C, Honors Thesis (4-4-4), 4-4-4
HDP 195, Instructional  Apprentice in Human Development (4), 4
HDP 199, Independent  Study in Human Development (4), 4
HMNR 100/HITO, Introduction to Human Rights and Global Justice (4), 4
HMNR 101/ANSC, Human Rights II: Contemporary Issues (4), 4
HUM 1, The Foundations  of Western Civilization: Israel and Greece (6), 6
HUM 2, Rome, Christianity, and the Middle Ages (6), 6
HUM 3, Renaissance, Reformation, and Early Modern Europe (4), 4
HUM 4, Enlightenment, Romanticism, Revolution (1660–1848) (4), 1660–1848) (4
HUM 5, Modern Culture (1848–present) (4), 1848–present) (4
HUM 195, Methods of Teaching Humanities (4), 4
HUM 199, Special Studies (2–4), 2–4
HUM 200, Seminar in the Humanities (4), 4
INTL 97, Internship (1), 1
INTL 101, Culture  and Society in International Perspective (4), 4
INTL 102, Economics,  Politics, and International Change (4), 4
INTL 190, Seminar in International Studies (4), 4
INTL 190H, Honors Seminar in International Studies (4), 4
INTL 196H, International Studies Honors Program (4), 4
INTL 197, Internship (1), 1
JAPN 190, Selected Topics in Contemporary Japanese Studies, Selected Topics in Contemporary Japanese Studie
JAPN 10A-B-C, First-Year Japanese (5-5-5), 5-5-5
JAPN 20A-B-C, Second-Year Japanese (5-5-5), 5-5-5
JAPN 130A-B-C, Third-Year Japanese (5-5-5), 5-5-5
JAPN 135A, Japanese for Professional Purposes (4), 4
JAPN 135B, Japanese for Professional Purposes II (4), 4
JAPN 135C, Japanese for Professional Purposes III (4), 4
JAPN 140A-B-C, Fourth-Year Japanese (4-4-4), 4-4-4
JAPN 150A-B-C, Advanced Japanese (4-4-4), 4-4-4
Jewish Studies, Beginning Hebrew (5), 5
Jewish Studies, Intermediate Hebrew (5), 5
Jewish Studies, Intermediate Hebrew, Continued (5), 5
Jewish Studies, Freshman Seminar (1), 1
Jewish Studies, Introduction to Hebrew Texts (4), 4
Jewish Studies, Intermediate Hebrew Texts (4), 4
Jewish Studies, Advanced Hebrew Texts (4), 4
Jewish Studies, Introduction to Judaism (4), 4
Jewish Studies, Topics in Judaic Studies (4), 4
Jewish Studies, Introduction to the Old Testament: The Historical Books (4), 4
Jewish Studies, Introduction to the Old Testament: The Poetic Books (4), 4
Jewish Studies, Jewish Studies Honors Course (4), 4
Jewish Studies, Jewish Studies Honors Course (4), 4
Jewish Studies, Directed Group Study in Jewish Studies (1-4), 1-4
Jewish Studies, Independent Study in Jewish Studies (1-4), 1-4
LATI 10, Reading North by South: Latin American Studies and the US Liberation Movements (4), 4
LATI 50, Introduction to Latin America (4), 4
LATI 87, Freshman Seminar (1), 1
LATI 122A, Field Research Methods for Migration Studies: Seminar (4), 4
LATI 122B, Field Research Methods for Migration Studies: Practicum (12), 12
LATI 122C, Field Research Methods for Migration Studies: Data Analysis (4), 4
LATI 180, Special Topics in Latin American Studies (4), 4
LATI 190, Senior Seminar (4), 4
LATI 191, Honors Seminar (4), 4
LATI 199, Individual Study (4), 4
LATI 200, Core Seminar on Interdisciplinary Research and Methodology in Latin American Studies (4), 4
LATI 222A, Field Research Methods for Migration Studies: Seminar (4), 4
LATI 222B, Field Research Methods for Migration Studies: Practicum (12), 12
LATI 222C, Field Research Methods for Migration Studies: Data Analysis (4), 4
LATI 298, Directed Reading (1–12), 1–12
LATI 299, Independent Research (1–12), 1–12
LATI 500, Teaching Apprenticeship (1–4), 1–4
LAWS 101, Contemporary Legal Issues (4), 4
LAWS 102S, Crimes, Civil Wrongs, and Constitution (4), 4
LIGN 3, Language as a Social and Cultural Phenomenon (4), 4
LIGN 4, Language as a Cognitive System (4), 4
LIGN 5, The Linguistics of Invented Languages (4), 4
LIGN 7, Sign Language and Their Cultures (4), 4
LIGN 8, Languages and Cultures in America (4), 4
LIGN 17, Making and Breaking Codes (4), 4
LIGN 87, Freshman Seminar (1), 1
LIGN 101, Introduction to the Study of Language (4), 4
LIGN 105, Law and Language (4), 4
LIGN 108, Languages of Africa (4), 4
LIGN 110, Phonetics (4), 4
LIGN 111, Phonology I (4), 4
LIGN 112, Speech Sounds and Speech Disorders (4), 4
LIGN 119, First and Second Language Learning: From Childhood through Adolescence (4), 4
LIGN 120, Morphology (4), 4
LIGN 121, Syntax I (4), 4
LIGN 130, Semantics (4), 4
LIGN 139, Field Methods (4), 4
LIGN 141, Language Structures (4), 4
LIGN 143, The Structure of Spanish (4), 4
LIGN 144, Discourse Analysis: American Sign Language and Performing Arts (4), 4
LIGN 146, Sociolinguistics in Deaf Communities (4), 4
LIGN 148, Psycholinguistics of Sign Language (4), 4
LIGN 150, Historical Linguistics (4), 4
LIGN 152, Indigenous Languages of the Americas (4), 4
LIGN 154, Language and Consciousness (4), 4
LIGN 155, Evolution of Language (4), 4
LIGN 160, Pragmatics (4), 4
LIGN 165, Computational Linguistics (4), 4
LIGN 167, Deep Learning for Natural Language Understanding (4), 4
LIGN 170, Psycholinguistics (4), 4
LIGN 171, Child Language Acquisition (4), 4
LIGN 174, Gender and Language in Society (4), 4
LIGN 175, Sociolinguistics (4), 4
LIGN 176, Language of Politics and Advertising (4), 4
LIGN 177, Multilingualism (4), 4
LIGN 179, Second Language Acquisition Research (4), 4
LIGN 180, Language Representation in the Brain (4), 4
LIGN 181, Language Processing in the Brain (4), 4
LIGN 192, Senior Seminar in Linguistics (1), 1
LIGN 195, Apprentice Teaching (0–4), 0–4
LIGN 197, Linguistics Internship (2 or 4), 2 or 4
LIGN 199, Independent Study in Linguistics (2 or 4), 2 or 4
LIGN 199H, Honors Independent Study in Linguistics (4), 4
LIGN 200, Research Forum (2), 2
LIGN 210, Phonetics (4), 4
LIGN 211, Phonology  (4), 4
LIGN 214, Topics in Phonetics (4), 4
LIGN 215, Topics in Phonology (4), 4
LIGN 220, Morphology (4), 4
LIGN 221, Syntax (4), 4
LIGN 225, Topics in Syntax (4), 4
LIGN 228, Probabilistic Models of Cognition (4), 4
LIGN 230, Semantics (4), 4
LIGN 232, Semantic Development (4), 4
LIGN 235, Topics in Semantics (2–4), 2–4
LIGN 238, Topics in Cognitive Linguistics (0–4), 0–4
LIGN 240, Field Methods (4), 4
LIGN 241, Fieldwork (4), 4
LIGN 245, Computational Corpus Linguistics (4), 4
LIGN 247, Topics in Pragmatics (2–4), 2–4
LIGN 248, Topics in Morphology (4), 4
LIGN 251, Probabilistic Methods in Linguistics (4), 4
LIGN 252, Advanced Probabilistic Models of Language (4), 4
LIGN 255, Topics in Language Evolution (4), 4
LIGN 256, Statistical Natural Language Processing (4), 4
LIGN 266, Computational Pragmatics (4), 4
LIGN 270, Topics in Psycholinguistics (4), 4
LIGN 272, Topics in Neurolinguistics (4), 4
LIGN 274, Computational Psycholinguistics (4), 4
LIGN 279, Topics in Language Acquisition (4), 4
LIGN 280, Sign Language Research (4), 4
LIGN 281, Language Acquisition Theory and Research (4), 4
LIGN 282, Biology and Environment in Language Acquisition (4), 4
LIGN 283, Language and Conceptual Development (4), 4
LIGN 284, Topics in Sign Language Research (4), 4
LIGN 293, Research Practicum (0–4), 0–4
LIGN 296, Directed Research (1–8), 1–8
LIGN 299, Doctoral Research (1–12), 1–12
LIGN 502, Apprentice Teaching of Linguistics (1–4), 1–4
LIGN 503, Apprentice Teaching of American Sign Language (1–4), 1–4
LIGN 504, Apprentice Teaching of French (1–4), 1–4
LIGN 505, Apprentice Teaching of German (1–4), 1–4
LIGN 506, Apprentice Teaching of Italian (1–4), 1–4
LIGN 507, Apprentice Teaching of Spanish (1–4), 1–4
LIGN 508, Apprentice Teaching of Language/Directed Study (1–4), 1–4
LIGN 509, Apprentice Teaching, Head Teaching Assistant (1–4), 1–4
LIGN 510, Apprentice Teaching of Arabic (1–4), 1–4
LIGN 511, Apprentice Teaching of Portuguese (1–4), 1–4
LIGN 512, Apprentice Teaching of Heritage Korean  (1–4), 1–4
LIGN 513, Apprentice Teaching of Heritage          Vietnamese (1–4), 1–4
LIGN 514, Apprentice Teaching of Heritage          Persian (1–4), 1–4
LIGN 515, Apprentice Teaching of Heritage                    Filipino (1–4), 1–4
Linguistics/American Sign, American Sign Language Conversation (2, 
Linguistics/American Sign, Analysis of American Sign Language (2, 
Linguistics/American Sign, American Sign Language Conversation (2, 
Linguistics/American Sign, Analysis of American Sign Language (2, 
Linguistics/American Sign, American Sign Language Conversation (2, 
Linguistics/American Sign, Analysis of American Sign Language (2, 
Linguistics/American Sign, American Sign Language Conversation (2, 
Linguistics/American Sign, Analysis of American Sign Language (2, 
Linguistics/American Sign, Intermediate American Sign Language Conversation (4), 4
Linguistics/American Sign, Fundamentals of American Sign Language (5), 5
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Analysis of Arabic (2, 
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Analysis of Arabic (2, 
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Analysis of Arabic (2, 
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Analysis of Arabic (2, 
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Arabic Conversation (2, 
Linguistics/Arabic (LIAB), Intermediate Arabic Conversation and Analysis (4), 4
Linguistics/Arabic (LIAB), Advanced Arabic (4), 4
Linguistics/French (LIFR), French Conversation (2, 
Linguistics/French (LIFR), Analysis of French (2, 
Linguistics/French (LIFR), French Conversation (2, 
Linguistics/French (LIFR), Analysis of French (2, 
Linguistics/French (LIFR), French Conversation (2, 
Linguistics/French (LIFR), Analysis of French (2, 
Linguistics/French (LIFR), French Conversation (2, 
Linguistics/French (LIFR), Analysis of French (2, 
Linguistics/French (LIFR), Fundamentals of French (5), 5
Linguistics/French (LIFR), Elementary French Reading  (2–4), 2–4
Linguistics/German (LIGM), German Conversation (2, 
Linguistics/German (LIGM), Analysis of German (2, 
Linguistics/German (LIGM), German Conversation (2, 
Linguistics/German (LIGM), Analysis of German (2, 
Linguistics/German (LIGM), German Conversation (2, 
Linguistics/German (LIGM), Analysis of German (2, 
Linguistics/German (LIGM), German Conversation (2, 
Linguistics/German (LIGM), Analysis of German (2, 
Linguistics/German (LIGM), Elementary German Reading  (2–4), 2–4
Linguistics/German (LIGM), Fundamentals of German (5), 5
Linguistics/Heritage Languages, Arabic Literacy for Arabic Speakers (4), 4
Linguistics/Heritage Languages, Persian Literacy for Persian Speakers (4), 4
Linguistics/Heritage Languages, Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Advanced Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Advanced Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Advanced Filipino for Filipino Speakers (4), 4
Linguistics/Heritage Languages, Armenian for Armenian Speakers  (4), 4
Linguistics/Heritage Languages, Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Advanced Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Advanced Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Advanced Vietnamese for Vietnamese Speakers (4), 4
Linguistics/Heritage Languages, Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Advanced Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Advanced Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Advanced Korean for Korean Speakers (4), 4
Linguistics/Heritage Languages, Arabic for Arabic Speakers (4), 4
Linguistics/Heritage Languages, Arabic for Arabic Speakers (4), 4
Linguistics/Heritage Languages, Arabic for Arabic Speakers (4), 4
Linguistics/Heritage Languages, Advanced Arabic for Arabic Speakers  (4), 4
Linguistics/Heritage Languages, Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Advanced Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Advanced Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Advanced Persian for Persian Speakers (4), 4
Linguistics/Heritage Languages, Cantonese for Cantonese Speakers  (4), 4
Linguistics/Heritage Languages, Advanced Cantonese for Cantonese Speakers  (4), 4
Linguistics/Heritage Languages, Hindi for Hindi Speakers (4), 4
Linguistics/Heritage Languages, Hindi for Hindi Speakers (4), 4
Linguistics/Heritage Languages, Hindi for Hindi Speakers (4), 4
Linguistics/Heritage Languages, Advanced Hindi for Hindi Speakers (4), 4
Linguistics/Heritage Languages, Advanced Hindi for Hindi Speakers (4), 4
Linguistics/Heritage Languages, Advanced Hindi for Hindi Speakers (4), 4
Linguistics/Hindi (LIHI), Hindi Conversation (2, 
Linguistics/Hindi (LIHI), Analysis of Hindi (2, 
Linguistics/Hindi (LIHI), Hindi Conversation (2, 
Linguistics/Hindi (LIHI), Analysis of Hindi (2, 
Linguistics/Hindi (LIHI), Hindi Conversation (2, 
Linguistics/Hindi (LIHI), Analysis of Hindi (2, 
Linguistics/Hindi (LIHI), Hindi Conversation (2, 
Linguistics/Hindi (LIHI), Analysis of Hindi (2, 
Linguistics/Italian (LIIT), Italian Conversation (2, 
Linguistics/Italian (LIIT), Analysis of Italian (2, 
Linguistics/Italian (LIIT), Italian Conversation (2, 
Linguistics/Italian (LIIT), Analysis of Italian (2, 
Linguistics/Italian (LIIT), Italian Conversation (2, 
Linguistics/Italian (LIIT), Analysis of Italian (2, 
Linguistics/Italian (LIIT), Italian Conversation (2, 
Linguistics/Italian (LIIT), Analysis of Italian                    (2, 
Linguistics/Italian (LIIT), Fundamentals of Italian I (5), 5
Linguistics/Italian (LIIT), Fundamentals of Italian II (5), 5
Linguistics/Italian (LIIT), Fundamentals of Italian III (5), 5
Linguistics/Italian (LIIT), Fundamentals of Italian IV (5), 5
Linguistics/Portuguese (LIPO), Portuguese Conversation (2, 
Linguistics/Portuguese (LIPO), Analysis of Portuguese (2, 
Linguistics/Portuguese (LIPO), Portuguese Conversation (2, 
Linguistics/Portuguese (LIPO), Analysis of Portuguese  (2, 
Linguistics/Portuguese (LIPO), Portuguese Conversation (2, 
Linguistics/Portuguese (LIPO), Analysis of Portuguese (2, 
Linguistics/Portuguese (LIPO), Portuguese Conversation (2, 
Linguistics/Portuguese (LIPO), Analysis of Portuguese (2, 
Linguistics/Portuguese (LIPO), Intermediate Brazilian Portuguese    for the Social Sciences: Social Movements (2, 
Linguistics/Portuguese (LIPO), Intermediate                    Brazilian Portuguese for the Social Sciences: Cultural Movements                    (2, 
Linguistics/Portuguese (LIPO), Intermediate Brazilian                    Portuguese for the Social Sciences: Ethnicity (2, 
Linguistics/Spanish (LISP), Spanish Conversation (2, 
Linguistics/Spanish (LISP), Analysis of Spanish (2, 
Linguistics/Spanish (LISP), Spanish Conversation (2, 
Linguistics/Spanish (LISP), Analysis of Spanish (2, 
Linguistics/Spanish (LISP), Spanish Conversation (2, 
Linguistics/Spanish (LISP), Analysis of Spanish (2, 
Linguistics/Spanish (LISP), Spanish Conversation (2, 
Linguistics/Spanish (LISP), Analysis of Spanish (2, 
Linguistics/Spanish (LISP), Fundamentals of Spanish (5), 5
Linguistics/Spanish (LISP), Intermediate Spanish for the Social Sciences (2), 2
Linguistics/Spanish (LISP), Intermediate Spanish for the Health Sciences (2), 2
Linguistics (LIDS), Directed Study—Language (2–4), 2–4
LTCH 101, Readings  in Contemporary Chinese Literature (4), 4
LTCO 201, Theories and Methods of Literary Analysis (4), 4
LTCO 274, Genre Studies (4), 4
LTCO 281, Literature and Film (4), 4
LTCO 282, Literature and Philosophy (4), 4
LTCO 284, Performativity (4), 4
LTCO 285, Literature and Aesthetics (4), 4
LTCO 287, Culture and Political Theory (4), 4
LTCO 297, Directed Studies: Reading Course (1–12), 1–12
LTCO 298, Special Projects: Writing Course (1–12), 1–12
LTCO 299, Dissertation (1–12), 1–12
LTCS 50, Introduction to Cultural Studies (4), 4
LTCS 52, Topics in Cultural Studies (4), 4
LTCS 87, Freshman Seminar (1), 1
LTCS 100, Theories  and Methods in Cultural Studies (4), 4
LTCS 102, Practicing Cultural Studies (4), 4
LTCS 108, Gender, Race, and Artificial Intelligence (4), 4
LTCS 110, Popular Culture (4), 4
LTCS 111, Special  Topics in Popular Culture in Historical Context (4), 4
LTCS 119, Asian American Film and Media (4), 4
LTCS 120, Historical Perspectives on Culture (4), 4
LTCS 125, Cultural  Perspectives on Immigration and Citizenship (4), 4
LTCS 130, Gender,  Race/Ethnicity, Class, and Culture (4), 4
LTCS 131, Topics  in Queer Cultures/Queer Subcultures (4), 4
LTCS 132, Special  Topics in Social Identities and the Media (4), 4
LTCS 133, Globalization and Culture (4), 4
LTCS 134, Culture and Revolution (4), 4
LTCS 141, Special Topics in Race and Empire (4), 4
LTCS 150, Topics in Cultural Studies (4), 4
LTCS 155, Health, Illness, and Global Culture (4), 4
LTCS 165, Special Topics: The Politics of Food (4), 4
LTCS 170, Visual Culture (4), 4
LTCS 172, Special  Topics in Screening Race/Ethnicity, Gender and Sexuality (4), 4
LTCS 173, Topics in Violence and Visual Culture (4), 4
LTCS 180, Programming for the Humanities (4), 4
LTCS 198, Directed Group Study (4), 4
LTCS 199, Special Studies (2 or 4), 2 or 4
LTCS 222, Topics in Theory and History of Film (4), 4
LTCS 225, Interdisciplinary  and Historical Analysis of Cultural Texts (4), 4
LTCS 250, Topics in Cultural Studies (4), 4
LTCS 256, Cultural Studies of Technoscience (4), 4
LTCS 260, National Cultures (4), 4
LTCS 297, Directed Studies: Reading Course (1–12), 1–12
LTCS 298, Special Projects: Writing Course (1–12), 1–12
LTCS 299, Dissertation (1–12), 1–12
